#languageTag	#level	#worksheet	#problemNo	#sequenceType	#voiceSource	#problemSentence	#exampleNumber1	#exampleNumber2	#exampleNumber3	#exampleNumber4	#exampleWord1	#exampleWord2	#exampleWord3	#exampleWord4	#rightFormula	#rightAnswer	#objectValueA	#objectValueB	#objectValueC	#objectValueD	#equationValueA	#equationValueB	#equationSign	#equationUnknown	#objectSourceA	#objectSourceB	#objectSourceC	#objectSourceD
en-US	1	1	1	1	"Mohanlal's hen laid 6 eggs yesterday and 3 eggs today. How many eggs did Mohanlal's hen lay in all?"	Mohanlal's hen laid 6 eggs yesterday and 3 eggs today. How many eggs did Mohanlal's hen lay in all?	6	7	8	9	eggs	eggs	eggs	eggs	6 + 3 = <9>	4	6	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
en-US	1	1	2	1	"2 birds were sitting on the fence.4 more birds joined them. How many birds are on the fence?"	2 birds were sitting on the fence.4 more birds joined them. How many birds are on the fence?	6	7	8	9	birds	birds	birds	birds	2 + 4 = <6>	1	2	4	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	1	1	3	1	"Anu earns star stickers when she does math at school. Yesterday, Anu earned 4 stars. Today, she earned 3 more. How many stars did Anu earn in all?"	Anu earns star stickers when she does math at school. Yesterday, Anu earned 4 stars. Today, she earned 3 more. How many stars did Anu earn in all?	6	7	8	9	stars	stars	stars	stars	4 + 3 = <7>	2	4	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	1	1	4	1	"Deepesh has 6 books. Kartik has 2 books. How many books do they have in all?"	Deepesh has 6 books. Kartik has 2 books. How many books do they have in all?	3	5	7	8	books	books	books	books	6 + 2 = <8>	4	6	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	1	1	5	1	"Ruhi served 3 yams at lunch and@5 yams during dinner. How many yams were served during the day?"	Ruhi served 3 yams at lunch and@5 yams during dinner. How many yams were served during the day?	4	6	8	10	yams	yams	yams	yams	3 + 5 = <8>	3	3	5	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	1	2	1	1	"Deepesh has 6 books. Kartik has 2 books. How many books do they have in all?"	Deepesh has 6 books. Kartik has 2 books. How many books do they have in all?	3	5	7	8	books	books	books	books	6 + 2 = <8>	4	6	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	1	2	2	1	"Ruhi served 3 yams at lunch and@5 yams during dinner. How many yams were served during the day?"	Ruhi served 3 yams at lunch and@5 yams during dinner. How many yams were served during the day?	4	6	8	10	yams	yams	yams	yams	3 + 5 = <8>	3	3	5	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	1	2	3	1	"7 red apples and 2 green apples are in the basket. How many apples are in the basket?"	7 red apples and 2 green apples are in the basket. How many apples are in the basket?	6	7	8	9	apples	apples	apples	apples	7 + 2 = <9>	4	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
en-US	1	2	4	1	"Radhika caught 5 fish in the morning. She caught 4 more fish in the afternoon. How many fish did Radhika catch in all?"	Radhika caught 5 fish in the morning. She caught 4 more fish in the afternoon. How many fish did Radhika catch in all?	6	7	8	9	fish	fish	fish	fish	5 + 4 = <9>	4	5	4	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	1	2	5	1	"Anu earns star stickers when she does math at school. Yesterday, Anu earned 4 stars. Today, she earned 3 more. How many stars did Anu earn in all?"	Anu earns star stickers when she does math at school. Yesterday, Anu earned 4 stars. Today, she earned 3 more. How many stars did Anu earn in all?	6	7	8	9	stars	stars	stars	stars	4 + 3 = <7>	2	4	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	1	3	1	1	"7 red apples and 2 green apples are in the basket. How many apples are in the basket?"	7 red apples and 2 green apples are in the basket. How many apples are in the basket?	6	7	8	9	apples	apples	apples	apples	7 + 2 = <9>	4	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
